dataset,embedding,holdout_cell_type,method_name,method_role,score_method,score_family,known_accuracy_mean,known_accuracy_std,unknown_auroc_mean,unknown_auroc_std,unknown_auprc_mean,unknown_auprc_std,known_coverage_at_val95_mean,known_coverage_at_val95_std,unknown_recall_at_val95_mean,unknown_recall_at_val95_std,accepted_known_accuracy_at_val95_mean,accepted_known_accuracy_at_val95_std,n_split_seeds,delta_unknown_auroc_mean_vs_mlp_maxprob,delta_unknown_auprc_mean_vs_mlp_maxprob,delta_unknown_recall_at_val95_mean_vs_mlp_maxprob,delta_unknown_auroc_mean_vs_raw_prototype,delta_unknown_auprc_mean_vs_raw_prototype,delta_unknown_recall_at_val95_mean_vs_raw_prototype
zheng68k,zheng68k_pca50.npy,CD19+ B,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6725993377483444,0.0077788145435983,0.6292530580676811,0.0369397794665651,0.3755140564208963,0.0293546587699752,0.945916114790287,0.0097199202893097,0.0483870967741935,0.0092080520277169,0.6940075815288336,0.0086729361257831,6,0.0,0.0,0.0,-0.09532527079525588,-0.17118243639333575,-0.1977299880525687
zheng68k,zheng68k_pca50.npy,CD19+ B,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.529387417218543,0.0146010158117198,0.7245783288629369,0.0413585980577652,0.546696492814232,0.0589243679794822,0.9457781456953644,0.0082905536149365,0.2461170848267622,0.0727754513600719,0.538722079047727,0.016386317743884,6,0.09532527079525588,0.17118243639333575,0.1977299880525687,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,CD19+ B,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.529387417218543,0.0146010158117198,0.808303316401212,0.0106633205825166,0.6309299209214033,0.026042888331055,0.9526766004415012,0.0086729791773849,0.2589605734767025,0.0497517636383226,0.5553437731230104,0.0178904057616154,6,0.17905025833353094,0.255415864500507,0.21057347670250898,0.08372498753827506,0.08423342810717127,0.012843488649940282
zheng68k,zheng68k_pca50.npy,CD19+ B,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6251379690949227,0.0138956182012776,0.8258968485682864,0.0060987523615487,0.7599038904181828,0.0118387242147124,0.9497792494481236,0.0082227728618936,0.5310633213859021,0.0258876328315656,0.6246668083399892,0.0154263002590225,6,0.19664379050060532,0.38438983399728655,0.48267622461170856,0.10131851970534944,0.2132073976039508,0.28494623655913986
zheng68k,zheng68k_pca50.npy,CD56+ NK,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.65970409051349,0.008755283787613,0.1689936472274343,0.0519597097773149,0.2784862794279734,0.0091422008320219,0.9445894981143024,0.0143396392750396,0.0011723329425556,0.0010485664607267,0.6788815313145191,0.009369483744963,6,0.0,0.0,0.0,-0.5434593038580195,-0.3362834842853271,-0.15533411488862842
zheng68k,zheng68k_pca50.npy,CD56+ NK,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5178416013925152,0.011572337781441,0.7124529510854538,0.0168808817608654,0.6147697637133005,0.0250343173300379,0.9498114302291848,0.0073162287281221,0.156506447831184,0.0307209394634313,0.5258931479785316,0.0120631350454534,6,0.5434593038580195,0.3362834842853271,0.15533411488862842,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,CD56+ NK,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5178416013925152,0.011572337781441,0.7040206224485943,0.0065320825066118,0.6478578882678903,0.0167212869503206,0.952712503626342,0.0131492571852303,0.2004689331770222,0.0398041132059291,0.5426527480572158,0.0104367914695401,6,0.53502697522116,0.3693716088399169,0.1992966002344666,-0.008432328636859499,0.03308812455458976,0.04396248534583819
zheng68k,zheng68k_pca50.npy,CD56+ NK,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.5982013344937627,0.0148890367512113,0.805898123689118,0.0094449211697321,0.7588860997474159,0.0154710245790363,0.9492312155497532,0.0124022160122545,0.3546307151230949,0.0249764701139003,0.5995762563862536,0.013513123268301,6,0.6369044764616837,0.48039982031944256,0.3534583821805393,0.09344517260366414,0.14411633603411544,0.1981242672919109
zheng68k,zheng68k_pca50.npy,Dendritic,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6740827478532396,0.0077397624093336,0.4829955924682982,0.0360700176452853,0.1922147071801889,0.0513021697708447,0.9526411657559198,0.0125454154809637,0.1262886597938144,0.0589299488124857,0.693191217802061,0.0108746730685536,6,0.0,0.0,0.0,0.2467969611369983,0.11087782062878031,0.1202749140893471
zheng68k,zheng68k_pca50.npy,Dendritic,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5446265938069217,0.0102934043737297,0.2361986313312999,0.0184752777932225,0.0813368865514086,0.0015867362459076,0.9502992453812126,0.0125842158276698,0.0060137457044673,0.0038802714057169,0.5576903957547278,0.0108294766923095,6,-0.2467969611369983,-0.11087782062878031,-0.1202749140893471,0.0,0.0,0.0
