dataset,embedding,holdout_cell_type,method_name,method_role,score_method,score_family,known_accuracy_mean,known_accuracy_std,unknown_auroc_mean,unknown_auroc_std,unknown_auprc_mean,unknown_auprc_std,known_coverage_at_val95_mean,known_coverage_at_val95_std,unknown_recall_at_val95_mean,unknown_recall_at_val95_std,accepted_known_accuracy_at_val95_mean,accepted_known_accuracy_at_val95_std,n_split_seeds,delta_unknown_auroc_mean_vs_mlp_maxprob,delta_unknown_auprc_mean_vs_mlp_maxprob,delta_unknown_recall_at_val95_mean_vs_mlp_maxprob,delta_unknown_auroc_mean_vs_raw_prototype,delta_unknown_auprc_mean_vs_raw_prototype,delta_unknown_recall_at_val95_mean_vs_raw_prototype
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.710430463576159,0.0040723092305459,0.6987802345177906,0.0599798618288176,0.4971253570677469,0.083428435561836,0.9465231788079472,0.0076230890286233,0.1706093189964158,0.1069383535586088,0.7297847654085985,0.0064951930961957,5,0.0,0.0,0.0,-0.12485950888936359,-0.19131668249079664,-0.3215053763440859
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5951986754966887,0.0228212727683612,0.8236397434071542,0.0062741404031064,0.6884420395585436,0.0143760688355509,0.949503311258278,0.0052027338948578,0.4921146953405017,0.0622949998048067,0.5997859065786042,0.0213908437000789,5,0.12485950888936359,0.19131668249079664,0.3215053763440859,0.0,0.0,0.0
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5951986754966887,0.0228212727683612,0.8427650786868902,0.0169953162886711,0.7288505067659583,0.0273368847835196,0.95182119205298,0.009427641375833,0.6189964157706094,0.0403643749948002,0.6079640443205673,0.0203527270319116,5,0.14398484416909962,0.2317251496982114,0.4483870967741936,0.019125335279736033,0.040408467207414756,0.1268817204301077
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6233443708609271,0.0183804663171974,0.8464006385150371,0.0019669083122598,0.7660047191045054,0.0193120718992021,0.9528145695364236,0.0131150492696646,0.6232974910394266,0.0405984193251444,0.6251256613294911,0.0186759320906592,5,0.14762040399724652,0.2688793620367585,0.45268817204301076,0.022760895107882928,0.07756267954596185,0.13118279569892488
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6976501305483029,0.0145840627088971,0.1249838536389765,0.0180437594853663,0.2849544039396099,0.0194535356703918,0.9476066144473456,0.0083342138345511,0.0002344665885111,0.0005242832303633,0.7197569341445711,0.0177933536990883,5,0.0,0.0,0.0,-0.7629137728204454,-0.5004051570086621,-0.3817116060961313
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.6081810269799826,0.0088627673581207,0.8878976264594218,0.0062865357504452,0.785359560948272,0.016723551819003,0.9559617058311576,0.0164396434508165,0.3819460726846424,0.0959968178352552,0.6194294619533517,0.0075767101389492,5,0.7629137728204454,0.5004051570086621,0.3817116060961313,0.0,0.0,0.0
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.6081810269799826,0.0088627673581207,0.6732109168786355,0.008420691503243,0.6014777654287041,0.0093961729022873,0.9510879025239338,0.0123604112436185,0.1667057444314185,0.0265837965761306,0.6235089185089879,0.0073156090459081,5,0.5482270632396591,0.3165233614890942,0.1664712778429074,-0.21468670958078628,-0.18388179551956785,-0.21524032825322392
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6130548302872063,0.0354734970193588,0.9410707307542008,0.0034602089522413,0.8986727889502191,0.0078034397533438,0.9577023498694516,0.007798978874576,0.5971864009378663,0.0411286744414419,0.6140698231009293,0.0324950969805512,5,0.8160868771152243,0.6137183850106092,0.5969519343493552,0.05317310429477895,0.1133132280019471,0.21524032825322392
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.7147540983606557,0.0086506761450086,0.3486608400331571,0.1288782019118692,0.106668001120843,0.0376884772050008,0.9558157689305228,0.0047676601044816,0.0278350515463917,0.041010977898796,0.7344115661920421,0.0097280667175682,5,0.0,0.0,0.0,-0.17179917429199165,-0.04935045959510419,-0.0010309278350516017
zheng68k,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.6126463700234192,0.011869837819671,0.5204600143251488,0.0058537890620686,0.1560184607159472,0.0076794394566662,0.952224824355972,0.0135143213548042,0.0288659793814433,0.0617051433057543,0.6199208679270904,0.0128960035782338,5,0.17179917429199165,0.04935045959510419,0.0010309278350516017,0.0,0.0,0.0
