dataset,embedding_label,embedding,holdout_cell_type,method_name,method_role,score_method,score_family,n_split_seeds,known_accuracy_mean,unknown_auroc_mean,unknown_auprc_mean,unknown_recall_at_val95_mean,known_coverage_at_val95_mean,accepted_known_accuracy_at_val95_mean,delta_known_accuracy_mean_vs_pca,delta_unknown_auroc_mean_vs_pca,delta_unknown_auprc_mean_vs_pca,delta_unknown_recall_at_val95_mean_vs_pca,delta_known_coverage_at_val95_mean_vs_pca,delta_accepted_known_accuracy_at_val95_mean_vs_pca
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.6166403581554342,0.8045442217082331,0.6714496072278129,0.4432594436812418,0.9460676724447014,0.617924016064001,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.6199915109733954,0.8603851424367445,0.749910209102331,0.5944568299718124,0.9551319733955052,0.6220896405540449,0.003351152817961278,0.05584092072851132,0.07846060187451809,0.15119738629057056,0.009064300950803794,0.004165624490043873
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.6679890870965837,0.42609824038895655,0.28348384768553614,0.05729380638293834,0.9491645081167895,0.6867989038607479,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.7076115641617059,0.3908083093966414,0.2962492540427333,0.0662262790437728,0.9499818540619386,0.7279844219150705,0.03962247706512223,-0.035289930992315144,0.01276540635719714,0.00893247266083446,0.0008173459451490395,0.04118551805432258
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.5306844501066601,0.56172245541646,0.41855542715241123,0.14336173059324311,0.9493932147197145,0.5399022313562997,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.6053420241666968,0.7439991280639081,0.5432733537409209,0.3009755824688624,0.9525632804818026,0.6130454121530154,0.0746575740600367,0.18227667264744807,0.12471792658850966,0.1576138518756193,0.0031700657620881145,0.07314318079671578
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.5306844501066601,0.7713818898670864,0.5554766715355636,0.24119104978112738,0.9519911888933716,0.5562641373712681,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.6053420241666968,0.7680732387470739,0.61108413118339,0.4093234004797138,0.9522317330608968,0.6186946048103017,0.0746575740600367,-0.0033086511200125512,0.05560745964782643,0.1681323506985864,0.0002405441675251696,0.06243046743903358
zheng68k,PCA50,zheng68k_pca50.npy,CD19+ B,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.6230132450331125,0.8250777374255263,0.7567203664873116,0.5222222222222223,0.9501655629139073,0.6224385979555854,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.6233443708609271,0.8464006385150371,0.7660047191045054,0.6232974910394266,0.9528145695364236,0.6251256613294911,0.00033112582781458233,0.02132290108951085,0.009284352617193847,0.1010752688172043,0.0026490066225163256,0.0026870633739056737
