dataset,embedding_label,embedding,holdout_cell_type,score_method,method_label,target_known_coverage,target_known_coverage_label,known_coverage_mean,known_coverage_std,unknown_recall_mean,unknown_recall_std,accepted_known_accuracy_mean,accepted_known_accuracy_std,n_split_seeds
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.95,95%,0.9491645081167895,0.0125348156907023,0.0572938063829383,0.025520264077260834,0.6867989038607479,0.009358989012363267,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.9,90%,0.8986258782865065,0.011160832248659132,0.09485150774284247,0.03291098704168833,0.7040220910440116,0.010297798179775669,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.8,80%,0.8057523867736952,0.021496629813110332,0.18650598273315247,0.0456459726881794,0.7370373886416974,0.010406264013414166,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.9493932147197143,0.0095127739503539,0.14336173059324311,0.034735720757022734,0.5399022313562997,0.012833094261291636,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9023386198452309,0.015283009229614999,0.21646809753115823,0.033418335312907506,0.5483592554267563,0.0128614746464498,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.7949062696422392,0.0153297064321568,0.3300681559940241,0.0450770128079295,0.5672169089062243,0.01495981300159197,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_class_z,Class-z prototype,0.95,95%,0.9519911888933715,0.010037093117199499,0.24119104978112738,0.0708407926761269,0.5562641373712681,0.012666946286962933,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_class_z,Class-z prototype,0.9,90%,0.9038450331512776,0.015939237427857335,0.44948844775762886,0.06738604929982413,0.5802372378236008,0.013352662339781501,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,proto_class_z,Class-z prototype,0.8,80%,0.8000635450348416,0.019565006411585,0.6203805379822575,0.024762633468211333,0.6143298177379137,0.013642369699647399,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9460676724447011,0.010630147605882665,0.4432594436812418,0.025485716347451434,0.617924016064001,0.010607307468359398,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.8977454610925616,0.013713961039703066,0.55231957066239,0.020533816640942466,0.6165149616701167,0.011317549882814798,5
zheng68k,PCA50,zheng68k_pca50.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8011147769462766,0.02249212150699637,0.6656503227810662,0.0147213800014711,0.6171973250987192,0.0130515611804184,5
zheng68k,PCA50,zheng68k_pca50.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.95,95%,0.9475165562913908,0.0099441171327451,0.0480286738351254,0.010248013229746,0.6922971825654035,0.0084902174116227,5
zheng68k,PCA50,zheng68k_pca50.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.9,90%,0.8947019867549668,0.006886302762611,0.1129032258064515,0.0254391927716458,0.7090838004020316,0.0093810775096157,5
zheng68k,PCA50,zheng68k_pca50.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.8,80%,0.7951986754966888,0.0215994572944376,0.2928315412186379,0.0698534032882528,0.7441511202546409,0.0066380503017983,5
