label_id,mu,sd,q05,q50,q95,n_train_class,analysis_type,dataset,embedding,split,holdout_cell_type,cell_type,pred_label_id,pred_cell_type,n_unknown_assigned,frac_unknown_assigned,unknown_best_sim_mean,unknown_raw_score_mean,unknown_class_z_mean,pred_class_train_mu,pred_class_train_sd,pred_class_train_q05,pred_class_train_q95,pred_class_n_train,score_group,n_cells,best_sim_mean,best_sim_median,best_sim_q05,best_sim_q25,best_sim_q75,best_sim_q95,raw_score_mean,raw_score_median,raw_score_q05,raw_score_q25,raw_score_q75,raw_score_q95,class_z_mean,class_z_median,class_z_q05,class_z_q25,class_z_q75,class_z_q95,margin_mean,margin_median,margin_q05,margin_q25,margin_q75,margin_q95,raw_unknown_minus_known_mean,class_z_unknown_minus_known_mean,margin_unknown_minus_known_mean
0.0,0.5878567099571228,0.08189236372709274,0.43586745858192444,0.5939478874206543,0.7071287035942078,137.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD14+ Monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.5700312256813049,0.18525269627571106,0.27659696340560913,0.5493379831314087,0.7772764563560486,13.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD34+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.4235323965549469,0.15804262459278107,0.2157447785139084,0.428938090801239,0.6161549091339111,6.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD4+ T Helper2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.22245724499225616,0.13332374393939972,-0.0394529327750206,0.24064254760742188,0.4037033021450043,428.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD4+/CD25 T Reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.21110375225543976,0.11320363730192184,0.002170318504795432,0.21094146370887756,0.3821018636226654,130.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD4+/CD45RA+/CD25- Naive T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.2643994987010956,0.1381605565547943,-0.007052358705550432,0.27316343784332275,0.46015214920043945,212.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD4+/CD45RO+ Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.3140943944454193,0.10839087516069412,0.1367167830467224,0.312075674533844,0.48034578561782837,597.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD56+ NK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0.11796835064888,0.14446189999580383,-0.11871214956045151,0.1162104681134224,0.3477734923362732,1421.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD8+ Cytotoxic T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.16100309789180756,0.08260669559240341,0.005137200932949781,0.170762300491333,0.2804330289363861,1145.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,CD8+/CD45RA+ Naive Cytotoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.4722513258457184,0.1609642207622528,0.22363479435443878,0.4798838496208191,0.6953474283218384,136.0,prototype_class_stats,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,Dendritic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,unknown_nearest_class,zheng68k,zheng68k_pca50.npy,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,,0.0,CD14+ Monocyte,11.0,0.01971326164874552,0.10307984799146652,0.8969201445579529,5.919683456420898,0.5878567099571228,0.08189236372709274,0.43586745858192444,0.7071287035942078,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
